condition,query_index,caption_id,rank,image_row_index,image_id,score,is_relevant,image_split,image_pattern_id,image_palette_id
color_histogram,0,CAP-V2_001-TPL_01,1,0,V2_001,0.938420613607,true,id,bands_horizontal,rojo_negro_crema
color_histogram,0,CAP-V2_001-TPL_01,2,5,V2_006,0.938420613607,false,id,bands_vertical,rojo_negro_crema
color_histogram,0,CAP-V2_001-TPL_01,3,25,V2_026,0.780991872152,false,id,mixed_asymmetric,rojo_negro_crema
color_histogram,0,CAP-V2_001-TPL_01,4,20,V2_021,0.692868550618,false,id,grid_reticular,rojo_negro_crema
color_histogram,0,CAP-V2_001-TPL_01,5,10,V2_011,0.632088979085,false,id,diamonds_central,rojo_negro_crema
color_histogram,0,CAP-V2_001-TPL_01,6,47,V2_048,0.510323842367,false,ood_pattern,circles_concentric,rojo_negro_crema
color_histogram,0,CAP-V2_001-TPL_01,7,15,V2_016,0.439534505208,false,id,grecas_modular,rojo_negro_crema
color_histogram,0,CAP-V2_001-TPL_01,8,42,V2_043,0.437321980794,false,ood_pattern,chevrons_diagonal,rojo_negro_crema
color_histogram,0,CAP-V2_001-TPL_01,9,12,V2_013,0.333333333333,false,id,diamonds_central,ocre_marron_negro
color_histogram,0,CAP-V2_001-TPL_01,10,17,V2_018,0.333333333333,false,id,grecas_modular,ocre_marron_negro
color_histogram,0,CAP-V2_001-TPL_01,11,22,V2_023,0.333333333333,false,id,grid_reticular,ocre_marron_negro
color_histogram,0,CAP-V2_001-TPL_01,12,27,V2_028,0.333333333333,false,id,mixed_asymmetric,ocre_marron_negro
color_histogram,0,CAP-V2_001-TPL_01,13,34,V2_035,0.333333333333,false,ood_palette,diamonds_central,verde_ocre_crema
color_histogram,0,CAP-V2_001-TPL_01,14,36,V2_037,0.333333333333,false,ood_palette,grecas_modular,verde_ocre_crema
color_histogram,0,CAP-V2_001-TPL_01,15,38,V2_039,0.333333333333,false,ood_palette,grid_reticular,verde_ocre_crema
color_histogram,0,CAP-V2_001-TPL_01,16,40,V2_041,0.333333333333,false,ood_palette,mixed_asymmetric,verde_ocre_crema
color_histogram,0,CAP-V2_001-TPL_01,17,44,V2_045,0.333333333333,false,ood_pattern,chevrons_diagonal,ocre_marron_negro
color_histogram,0,CAP-V2_001-TPL_01,18,49,V2_050,0.333333333333,false,ood_pattern,circles_concentric,ocre_marron_negro
color_histogram,0,CAP-V2_001-TPL_01,19,52,V2_053,0.333333333333,false,ood_both,chevrons_diagonal,verde_ocre_crema
color_histogram,0,CAP-V2_001-TPL_01,20,54,V2_055,0.333333333333,false,ood_both,circles_concentric,verde_ocre_crema
color_histogram,0,CAP-V2_001-TPL_01,21,3,V2_004,0.306259155273,false,id,bands_horizontal,blanco_negro_gris
color_histogram,0,CAP-V2_001-TPL_01,22,8,V2_009,0.306259155273,false,id,bands_vertical,blanco_negro_gris
color_histogram,0,CAP-V2_001-TPL_01,23,2,V2_003,0.298828125000,false,id,bands_horizontal,ocre_marron_negro
