query_index,caption_id,rank,image_row_index,image_id,score,is_relevant,image_split,image_pattern_id,image_palette_id
0,CAP-V2_001-TPL_01,1,10,V2_011,0.351894617081,false,id,diamonds_central,rojo_negro_crema
0,CAP-V2_001-TPL_01,2,5,V2_006,0.341291904449,false,id,bands_vertical,rojo_negro_crema
0,CAP-V2_001-TPL_01,3,0,V2_001,0.337622284889,true,id,bands_horizontal,rojo_negro_crema
0,CAP-V2_001-TPL_01,4,15,V2_016,0.319712638855,false,id,grecas_modular,rojo_negro_crema
0,CAP-V2_001-TPL_01,5,20,V2_021,0.318407177925,false,id,grid_reticular,rojo_negro_crema
0,CAP-V2_001-TPL_01,6,25,V2_026,0.316843539476,false,id,mixed_asymmetric,rojo_negro_crema
0,CAP-V2_001-TPL_01,7,42,V2_043,0.316556304693,false,ood_pattern,chevrons_diagonal,rojo_negro_crema
0,CAP-V2_001-TPL_01,8,7,V2_008,0.280760914087,false,id,bands_vertical,ocre_marron_negro
0,CAP-V2_001-TPL_01,9,2,V2_003,0.272315204144,false,id,bands_horizontal,ocre_marron_negro
0,CAP-V2_001-TPL_01,10,3,V2_004,0.269445002079,false,id,bands_horizontal,blanco_negro_gris
0,CAP-V2_001-TPL_01,11,29,V2_030,0.268845647573,false,id,mixed_asymmetric,multicolor_tierra
0,CAP-V2_001-TPL_01,12,13,V2_014,0.266569793224,false,id,diamonds_central,blanco_negro_gris
0,CAP-V2_001-TPL_01,13,17,V2_018,0.259032964706,false,id,grecas_modular,ocre_marron_negro
0,CAP-V2_001-TPL_01,14,27,V2_028,0.258964002132,false,id,mixed_asymmetric,ocre_marron_negro
0,CAP-V2_001-TPL_01,15,44,V2_045,0.255609512329,false,ood_pattern,chevrons_diagonal,ocre_marron_negro
0,CAP-V2_001-TPL_01,16,8,V2_009,0.248189017177,false,id,bands_vertical,blanco_negro_gris
0,CAP-V2_001-TPL_01,17,12,V2_013,0.247133284807,false,id,diamonds_central,ocre_marron_negro
0,CAP-V2_001-TPL_01,18,21,V2_022,0.245044708252,false,id,grid_reticular,azul_crema_marron
0,CAP-V2_001-TPL_01,19,22,V2_023,0.244877338409,false,id,grid_reticular,ocre_marron_negro
0,CAP-V2_001-TPL_01,20,4,V2_005,0.241522341967,false,id,bands_horizontal,multicolor_tierra
0,CAP-V2_001-TPL_01,21,19,V2_020,0.239462733269,false,id,grecas_modular,multicolor_tierra
0,CAP-V2_001-TPL_01,22,16,V2_017,0.238058835268,false,id,grecas_modular,azul_crema_marron
0,CAP-V2_001-TPL_01,23,9,V2_010,0.234371036291,false,id,bands_vertical,multicolor_tierra
0,CAP-V2_001-TPL_01,24,14,V2_015,0.234030738473,false,id,diamonds_central,multicolor_tierra
0,CAP-V2_001-TPL_01,25,26,V2_027,0.232857167721,false,id,mixed_asymmetric,azul_crema_marron
0,CAP-V2_001-TPL_01,26,28,V2_029,0.232796564698,false,id,mixed_asymmetric,blanco_negro_gris
0,CAP-V2_001-TPL_01,27,11,V2_012,0.231452733278,false,id,diamonds_central,azul_crema_marron
0,CAP-V2_001-TPL_01,28,1,V2_002,0.231173425913,false,id,bands_horizontal,azul_crema_marron
0,CAP-V2_001-TPL_01,29,23,V2_024,0.230838418007,false,id,grid_reticular,blanco_negro_gris
0,CAP-V2_001-TPL_01,30,47,V2_048,0.229759186506,false,ood_pattern,circles_concentric,rojo_negro_crema
